filename	wav	sentence	speaker
arctic_a0138	arctic_a0138.wav	In the picture he saw each moment a greater resemblance to Jeanne.	bdl
arctic_a0139	arctic_a0139.wav	He told himself that as he washed himself and groomed his disheveled clothes.	bdl
arctic_a0140	arctic_a0140.wav	Accept a father's blessing, and with it, this.	bdl
arctic_a0141	arctic_a0141.wav	It seems like a strange pointing of the hand of God.	bdl
arctic_a0142	arctic_a0142.wav	Such things had occurred before, he told Philip.	bdl
arctic_a0143	arctic_a0143.wav	Ah, I had forgotten, he exclaimed.	bdl
arctic_a0144	arctic_a0144.wav	But there was something even more startling than this resemblance.	bdl
arctic_a0145	arctic_a0145.wav	I have to be careful of them, as they tear very easily.	bdl
arctic_a0146	arctic_a0146.wav	Of course, that is uninteresting, she continued.	bdl
arctic_a0147	arctic_a0147.wav	A moment before he was intoxicated by a joy that was almost madness.	bdl
arctic_a0148	arctic_a0148.wav	Now these things had been struck dead within him.	bdl
arctic_a0149	arctic_a0149.wav	For an instant he saw Pierre drawn like a silhouette against the sky.	bdl
arctic_a0150	arctic_a0150.wav	Goodbye, Pierre, he shouted.	bdl
arctic_a0151	arctic_a0151.wav	And MacDougall was beyond the trail, with three weeks to spare.	bdl
arctic_a0152	arctic_a0152.wav	Philip thrust himself against it and entered.	bdl
arctic_a0153	arctic_a0153.wav	MacDougall tapped his forehead suspiciously with a stubby forefinger.	bdl
arctic_a0154	arctic_a0154.wav	He was smooth-shaven, and his hair and eyes were black.	bdl
arctic_a0155	arctic_a0155.wav	Won't you draw up, gentlemen.	bdl
arctic_a0156	arctic_a0156.wav	A strange fire burned in his eyes when Thorpe turned.	bdl
arctic_a0157	arctic_a0157.wav	He had worshiped her, as Dante might have worshiped Beatrice.	bdl
arctic_a0158	arctic_a0158.wav	Does that look good.	bdl
arctic_a0159	arctic_a0159.wav	They look as though he had been drumming a piano all his life.	bdl
arctic_a0160	arctic_a0160.wav	You want to go over and see his gang throw dirt.	bdl
arctic_a0161	arctic_a0161.wav	Take away their foreman and they wouldn't be worth their grub.	bdl
arctic_a0162	arctic_a0162.wav	That's the sub-foreman, explained Thorpe.	bdl
arctic_a0163	arctic_a0163.wav	Philip made no effort to follow.	bdl
arctic_a0164	arctic_a0164.wav	He came first a year ago, and revealed himself to Jeanne.	bdl
arctic_a0165	arctic_a0165.wav	They are to attack your camp tomorrow night.	bdl
arctic_a0166	arctic_a0166.wav	Two days ago Jeanne learned where her father's men were hiding.	bdl
arctic_a0167	arctic_a0167.wav	I was near the cabin, and saw you.	bdl
arctic_a0168	arctic_a0168.wav	Low bush whipped him in the face and left no sting.	bdl
arctic_a0169	arctic_a0169.wav	Suddenly Jeanne stopped for an instant.	bdl
arctic_a0170	arctic_a0170.wav	There was none of the joy of meeting in his face.	bdl
arctic_a0171	arctic_a0171.wav	And when you come back in a few days, bring Eileen.	bdl
arctic_a0172	arctic_a0172.wav	Gregson had left the outer door slightly ajar.	bdl
arctic_a0173	arctic_a0173.wav	The date was nearly eighteen years old.	bdl
arctic_a0174	arctic_a0174.wav	They were the presage of storm.	bdl
arctic_a0175	arctic_a0175.wav	Down there the earth was already swelling with life.	bdl
arctic_a0176	arctic_a0176.wav	For the first time in his life he was yearning for a scrap.	bdl
arctic_a0177	arctic_a0177.wav	She had been thoroughly and efficiently mauled.	bdl
arctic_a0178	arctic_a0178.wav	Every bone in her aged body seemed broken or dislocated.	bdl
arctic_a0179	arctic_a0179.wav	Tomorrow I'm going after that bear, he said.	bdl
arctic_a0180	arctic_a0180.wav	If not, let's say our prayers and go to bed.	bdl
arctic_a0181	arctic_a0181.wav	So cheer up, and give us your paw.	bdl
arctic_a0182	arctic_a0182.wav	This time he did not yap for mercy.	bdl
arctic_a0183	arctic_a0183.wav	And the air was growing chilly.	bdl
arctic_a0184	arctic_a0184.wav	Don't you see, I'm chewing this thing in two.	bdl
arctic_a0185	arctic_a0185.wav	The questions may have come vaguely in his mind.	bdl
arctic_a0186	arctic_a0186.wav	Like a flash he launched himself into the feathered mass of the owl.	bdl
arctic_a0187	arctic_a0187.wav	Ahead of them they saw a glimmer of sunshine.	bdl
arctic_a0188	arctic_a0188.wav	Two gigantic owls were tearing at the carcass.	bdl
arctic_a0189	arctic_a0189.wav	The big-eyed, clucking moose-birds were most annoying.	bdl
arctic_a0190	arctic_a0190.wav	Next to them the Canada jays were most persistent.	bdl
arctic_a0191	arctic_a0191.wav	For a time the exciting thrill of his adventure was gone.	bdl
arctic_a0192	arctic_a0192.wav	He did not rush in.	bdl
arctic_a0193	arctic_a0193.wav	It was edged with ice.	bdl
arctic_a0194	arctic_a0194.wav	He drank of the water cautiously.	bdl
arctic_a0195	arctic_a0195.wav	But a strange thing happened.	bdl
arctic_a0196	arctic_a0196.wav	He began to follow the footprints of the dog.	bdl
arctic_a0197	arctic_a0197.wav	Such a dog the wise driver kills, or turns loose.	bdl
arctic_a0198	arctic_a0198.wav	Sometimes her dreams were filled with visions.	bdl
arctic_a0199	arctic_a0199.wav	Thus had the raw wilderness prepared him for this day.	bdl
arctic_a0200	arctic_a0200.wav	He leapt again, and the club caught him once more.	bdl
arctic_a0201	arctic_a0201.wav	He cried, and swung the club wildly.	bdl
arctic_a0202	arctic_a0202.wav	She turned, fearing that Jacques might see what was in her face.	bdl
arctic_a0203	arctic_a0203.wav	They were following the shore of a lake.	bdl
arctic_a0204	arctic_a0204.wav	The wolf-dog thrust his gaunt muzzle toward him.	bdl
arctic_a0205	arctic_a0205.wav	From now on we're pals.	bdl
arctic_a0206	arctic_a0206.wav	He says he bought him of Jacques Le Beau.	bdl
arctic_a0207	arctic_a0207.wav	How much was it.	bdl
arctic_a0208	arctic_a0208.wav	Youth had come back to her, freed from the yoke of oppression.	bdl
arctic_a0209	arctic_a0209.wav	It was not a large lake, and almost round.	bdl
arctic_a0210	arctic_a0210.wav	Its diameter was not more than two hundred yards.	bdl
arctic_a0211	arctic_a0211.wav	It drowned all sound that brute agony and death may have made.	bdl
arctic_a0212	arctic_a0212.wav	Fresh cases, still able to walk, they clustered about the spokesman.	bdl
arctic_a0213	arctic_a0213.wav	Between him and the beach was the cane-grass fence of the compound.	bdl
arctic_a0214	arctic_a0214.wav	Besides, he was paid one case of tobacco per head.	bdl
arctic_a0215	arctic_a0215.wav	They die out of spite.	bdl
arctic_a0216	arctic_a0216.wav	The other felt a sudden wave of irritation rush through him.	bdl
arctic_a0217	arctic_a0217.wav	Oppressive as the heat had been, it was now even more oppressive.	bdl
arctic_a0218	arctic_a0218.wav	The ringing of the big bell aroused him.	bdl
arctic_a0219	arctic_a0219.wav	At first he puzzled over something untoward he was sure had happened.	bdl
arctic_a0220	arctic_a0220.wav	A dead man is of no use on a plantation.	bdl
arctic_a0221	arctic_a0221.wav	I don't know why you're here at all.	bdl
arctic_a0222	arctic_a0222.wav	What part of the United States is your home.	bdl
arctic_a0223	arctic_a0223.wav	My, I'm almost homesick for it already.	bdl
arctic_a0224	arctic_a0224.wav	She nodded, and her eyes grew soft and moist.	bdl
arctic_a0225	arctic_a0225.wav	I was brought up the way most girls in Hawaii are brought up.	bdl
arctic_a0226	arctic_a0226.wav	That came before my A B C's.	bdl
arctic_a0227	arctic_a0227.wav	It was the same way with our revolvers and rifles.	bdl
arctic_a0228	arctic_a0228.wav	But it contributed to the smash.	bdl
arctic_a0229	arctic_a0229.wav	The last one I knew was an overseer.	bdl
arctic_a0230	arctic_a0230.wav	Do you know any good land around here.	bdl
arctic_a0231	arctic_a0231.wav	The Resident Commissioner is away in Australia.	bdl
arctic_a0232	arctic_a0232.wav	I cannot follow you, she said.	bdl
arctic_a0233	arctic_a0233.wav	I never allow what can't be changed to annoy me.	bdl
arctic_a0234	arctic_a0234.wav	Why, the average review is more nauseating than cod liver oil.	bdl
arctic_a0235	arctic_a0235.wav	His voice was passionately rebellious.	bdl
arctic_a0236	arctic_a0236.wav	Don't you see I hate you.	bdl
arctic_a0237	arctic_a0237.wav	So Hughie and I did the managing ourselves.	bdl
arctic_a0238	arctic_a0238.wav	It happened to him at the Gallina Society in Oakland one afternoon.	bdl
arctic_a0239	arctic_a0239.wav	He cried in such genuine dismay that she broke into hearty laughter.	bdl
arctic_a0240	arctic_a0240.wav	Wash your hands of me.	bdl
arctic_a0241	arctic_a0241.wav	I think it's much nicer to quarrel.	bdl
arctic_a0242	arctic_a0242.wav	I saw it when she rolled.	bdl
arctic_a0243	arctic_a0243.wav	I only read the quotations.	bdl
arctic_a0244	arctic_a0244.wav	He was the soul of devotion to his employers.	bdl
arctic_a0245	arctic_a0245.wav	Out of his eighteen hundred, he laid aside sixteen hundred each year.	bdl
arctic_a0246	arctic_a0246.wav	You have heard always how he was the lover of the Princess Naomi.	bdl
arctic_a0247	arctic_a0247.wav	They ought to pass here some time today.	bdl
arctic_a0248	arctic_a0248.wav	I had been sad too long already.	bdl
arctic_a0249	arctic_a0249.wav	All eyes, however, were staring at him in certitude of expectancy.	bdl
arctic_a0250	arctic_a0250.wav	He had observed the business life of Hawaii and developed a vaulting ambition.	bdl
arctic_a0251	arctic_a0251.wav	I may manage to freight a cargo back as well.	bdl
arctic_a0252	arctic_a0252.wav	O'Brien had been a clean living young man with ideals.	bdl
arctic_a0253	arctic_a0253.wav	He it was that lived to found the family of the Patino.	bdl
arctic_a0254	arctic_a0254.wav	Straight out they swam, their heads growing smaller and smaller.	bdl
arctic_a0255	arctic_a0255.wav	You won't die of malnutrition, be sure of that.	bdl
arctic_a0256	arctic_a0256.wav	See the length of the body and that elongated neck.	bdl
arctic_a0257	arctic_a0257.wav	They are coming ashore, whoever they are.	bdl
arctic_a0258	arctic_a0258.wav	Soaked in seawater they offset the heat rays.	bdl
arctic_a0259	arctic_a0259.wav	Think of investing in such an adventure.	bdl
arctic_a0260	arctic_a0260.wav	Nobody knew his history, they of the Junta least of all.	bdl
arctic_a0261	arctic_a0261.wav	I have been doubly baptized.	bdl
arctic_a0262	arctic_a0262.wav	They wouldn't be sweeping a big vessel like the Martha.	bdl
arctic_a0263	arctic_a0263.wav	Joan looked triumphantly at Sheldon, who bowed.	bdl
arctic_a0264	arctic_a0264.wav	And I hope you've got plenty of chain out, Captain Young.	bdl
arctic_a0265	arctic_a0265.wav	The discovery seemed to have been made on the spur of the moment.	bdl
arctic_a0266	arctic_a0266.wav	They handled two men already, both grub-thieves.	bdl
arctic_a0267	arctic_a0267.wav	Eli Harding asked, as Shunk started to follow.	bdl
arctic_a0268	arctic_a0268.wav	Now go ahead and tell me in a straightforward way what has happened.	bdl
arctic_a0269	arctic_a0269.wav	That's where they cut off the Scottish Chiefs and killed all hands.	bdl
arctic_a0270	arctic_a0270.wav	And after the bath a shave would not be bad.	bdl
arctic_a0271	arctic_a0271.wav	Now please give a plain statement of what occurred.	bdl
arctic_a0272	arctic_a0272.wav	You can take a vacation on pay.	bdl
arctic_a0273	arctic_a0273.wav	They are big trees and require plenty of room.	bdl
arctic_a0274	arctic_a0274.wav	And Raoul listened again to the tale of the house.	bdl
arctic_a0275	arctic_a0275.wav	There are no kiddies and half grown youths among them.	bdl
arctic_a0276	arctic_a0276.wav	Oolong Atoll was one hundred and forty miles in circumference.	bdl
arctic_a0277	arctic_a0277.wav	McCoy found a stifling, poisonous atmosphere in the pent cabin.	bdl
arctic_a0278	arctic_a0278.wav	It would give me nervous prostration.	bdl
arctic_a0279	arctic_a0279.wav	She said with chattering teeth.	bdl
arctic_a0280	arctic_a0280.wav	I'll be out of my head in fifteen minutes.	bdl
arctic_a0281	arctic_a0281.wav	I do not blame you for anything; remember that.	bdl
arctic_a0282	arctic_a0282.wav	If you mean to insinuate -- Brentwood began hotly.	bdl
arctic_a0283	arctic_a0283.wav	The woman in you is only incidental, accidental, and irrelevant.	bdl
arctic_a0284	arctic_a0284.wav	There was no forecasting this strange girl's processes.	bdl
arctic_a0285	arctic_a0285.wav	But what they want with your toothbrush is more than I can imagine.	bdl
arctic_a0286	arctic_a0286.wav	Give them their choice between a fine or an official whipping.	bdl
arctic_a0287	arctic_a0287.wav	Keep an eye on him.	bdl
arctic_a0288	arctic_a0288.wav	Those are my oysters, he said at last.	bdl
arctic_a0289	arctic_a0289.wav	They are not regular oyster pirates, Nicholas continued.	bdl
arctic_a0290	arctic_a0290.wav	One by one the boys were captured.	bdl
arctic_a0291	arctic_a0291.wav	The weeks had gone by, and no overt acts had been attempted.	bdl
arctic_a0292	arctic_a0292.wav	Here, in the midmorning, the first casualty occurred.	bdl
arctic_a0293	arctic_a0293.wav	They were deep in the primeval forest.	bdl
arctic_a0294	arctic_a0294.wav	He had been foiled in his attempt to escape.	bdl
arctic_a0295	arctic_a0295.wav	And twenty men could hold it with spears and arrows.	bdl
arctic_a0296	arctic_a0296.wav	Bassett was a fastidious man.	bdl
arctic_a0297	arctic_a0297.wav	There's a big English general right now whose name is Roberts.	bdl
arctic_a0298	arctic_a0298.wav	This tacit promise of continued acquaintance gave Saxon a little joy-thrill.	bdl
arctic_a0299	arctic_a0299.wav	I tell you I am disgusted with this adventure tomfoolery and rot.	bdl
arctic_a0300	arctic_a0300.wav	From my earliest recollection my sleep was a period of terror.	bdl
arctic_a0301	arctic_a0301.wav	But all my dreams violated this law.	bdl
arctic_a0302	arctic_a0302.wav	It is very plausible to such people, a most convincing hypothesis.	bdl
arctic_a0303	arctic_a0303.wav	But they make the mistake of ignoring their own duality.	bdl
arctic_a0304	arctic_a0304.wav	I graduated last of my class.	bdl
arctic_a0305	arctic_a0305.wav	They had no fixed values, to be altered by adjectives and adverbs.	bdl
arctic_a0306	arctic_a0306.wav	He was pressing beyond the limits of his vocabulary.	bdl
arctic_a0307	arctic_a0307.wav	Very early in my life, I separated from my mother.	bdl
arctic_a0308	arctic_a0308.wav	His infernal chattering worries me even now as I think of it.	bdl
arctic_a0309	arctic_a0309.wav	White Leghorns, said Mrs Mortimer.	bdl
arctic_a0310	arctic_a0310.wav	Massage under tension, was the cryptic reply.	bdl
arctic_a0311	arctic_a0311.wav	Therefore, hurrah for the game.	bdl
arctic_a0312	arctic_a0312.wav	It lived in perpetual apprehension of that quarter of the compass.	bdl
arctic_a0313	arctic_a0313.wav	Broken-Tooth yelled with fright and pain.	bdl
arctic_a0314	arctic_a0314.wav	Thus was momentum gained in the Younger World.	bdl
arctic_a0315	arctic_a0315.wav	Saxon waited, for she knew a fresh idea had struck Billy.	bdl
arctic_a0316	arctic_a0316.wav	We had been chased by them ourselves, more than once.	bdl
arctic_a0317	arctic_a0317.wav	He was a wise hyena.	bdl
arctic_a0318	arctic_a0318.wav	Production is doubling and quadrupling upon itself.	bdl
arctic_a0319	arctic_a0319.wav	And the Edinburgh Evening News says, with editorial gloom.	bdl
arctic_a0320	arctic_a0320.wav	With my strength I slammed it full into Red-Eye's face.	bdl
arctic_a0321	arctic_a0321.wav	The log on which Lop-Ear was lying got adrift.	bdl
arctic_a0322	arctic_a0322.wav	This is a common experience with all of us.	bdl
arctic_a0323	arctic_a0323.wav	He considered the victory already his and stepped forward to the meat.	bdl
arctic_a0324	arctic_a0324.wav	It was not Red-Eye's way to forego revenge so easily.	bdl
arctic_a0325	arctic_a0325.wav	Whiz-zip-bang. Lop-Ear screamed with sudden anguish.	bdl
arctic_a0326	arctic_a0326.wav	Cherokee identified himself with his instinct.	bdl
arctic_a0327	arctic_a0327.wav	They were less stooped than we, less springy in their movements.	bdl
arctic_a0328	arctic_a0328.wav	The Fire People, like ourselves, lived in caves.	bdl
arctic_a0329	arctic_a0329.wav	Ah, indeed.	bdl
arctic_a0330	arctic_a0330.wav	Red-Eye never committed a more outrageous deed.	bdl
arctic_a0331	arctic_a0331.wav	Poor little Crooked-Leg was terribly scared.	bdl
arctic_a0332	arctic_a0332.wav	Unconsciously, our yells and exclamations yielded to this rhythm.	bdl
arctic_a0333	arctic_a0333.wav	This is no place for you.	bdl
arctic_a0334	arctic_a0334.wav	He'll knock you off a few sticks in no time.	bdl
arctic_a0335	arctic_a0335.wav	Red-Eye swung back and forth on the branch farther down.	bdl
arctic_a0336	arctic_a0336.wav	So unexpected was my charge that I knocked him off his feet.	bdl
arctic_a0337	arctic_a0337.wav	Encouraged by my conduct, Big-Face became a sudden ally.	bdl
arctic_a0338	arctic_a0338.wav	The fighting had now become intermittent.	bdl
arctic_a0339	arctic_a0339.wav	They obeyed him, and went here and there at his commands.	bdl
arctic_a0340	arctic_a0340.wav	It was like the beating of hoofs.	bdl
arctic_a0341	arctic_a0341.wav	Why, doggone you all, shake again.	bdl
arctic_a0342	arctic_a0342.wav	Seventeen, no, eighteen days ago.	bdl
arctic_a0343	arctic_a0343.wav	You mean for this State, General, Alberta.	bdl
arctic_a0344	arctic_a0344.wav	He seemed to fill it with his tremendous vitality.	bdl
